order_id,order_date,product_id,qty,discount_percentage,unit_price,store_id
IN-897,2021-08-22,P-75,4,0.5,249,IK-1
IN-4441,2023-03-17,P-134,2,0.3,29.99,IK-1
IN-4746,2023-10-02,P-131,4,0.5,699,IK-1
IN-5734,2022-09-20,P-4,4,0.6,79.99,IK-1
IN-6742,2021-11-25,P-40,4,0.5,34.99,IK-1
IN-10290,2021-10-01,P-134,3,0.5,29.99,IK-1
IN-10383,2021-02-16,P-149,1,0.4,19.99,IK-1
IN-12056,2022-10-01,P-56,3,0.5,7.99,IK-1
IN-12072,2022-09-13,P-117,3,0.4,19.99,IK-1
IN-15409,2022-06-02,P-78,4,0.6,329,IK-1
IN-15426,2023-06-14,P-40,3,0.6,34.99,IK-1
IN-18966,2022-12-25,P-109,2,0.4,179,IK-1
IN-20821,2022-10-20,P-41,1,0.2,149,IK-1
IN-22930,2022-09-16,P-90,2,0.4,179,IK-1
IN-23812,2023-11-20,P-111,3,0.5,89,IK-1
IN-26050,2022-09-29,P-33,1,0.4,49.99,IK-1
IN-26594,2021-06-05,P-39,1,0.2,99,IK-1
IN-26755,2021-10-20,P-115,4,0.5,79.99,IK-1
IN-30218,2021-05-10,P-112,3,0.6,29.99,IK-1
IN-31079,2022-08-28,P-26,3,0.4,349,IK-1
IN-32053,2022-01-07,P-93,1,0.4,19.99,IK-1
IN-32446,2023-01-09,P-115,1,0.2,79.99,IK-1
IN-32557,2022-03-20,P-79,1,0.2,159,IK-1
IN-32790,2022-07-10,P-35,2,0.5,14.99,IK-1
IN-33085,2022-08-22,P-65,2,0.4,10,IK-1
IN-33315,2022-03-29,P-13,1,0.3,699,IK-1
IN-33373,2023-07-18,P-105,3,0.6,79.99,IK-1
IN-34180,2023-06-18,P-124,4,0.5,299,IK-1
IN-34505,2022-11-17,P-75,3,0.4,249,IK-1
IN-34713,2022-02-12,P-167,1,0.2,119,IK-1
IN-34844,2023-03-13,P-55,1,0.4,39.99,IK-1
IN-34942,2023-03-01,P-148,1,0.4,999,IK-1
IN-35376,2022-05-10,P-64,2,0.5,9.99,IK-1
IN-35593,2022-11-16,P-133,3,0.5,159,IK-1
IN-35826,2023-10-23,P-135,4,0.5,7.99,IK-1
IN-36197,2023-03-11,P-118,3,0.5,7.99,IK-1
IN-36284,2023-12-19,P-125,1,0.4,69,IK-1
IN-36537,2022-02-10,P-22,2,0.3,159,IK-1
IN-37126,2022-07-12,P-10,3,0.5,6.99,IK-1
IN-37143,2022-02-22,P-14,3,0.5,29.99,IK-1
IN-37314,2022-06-09,P-15,4,0.6,999,IK-1
IN-37397,2023-07-06,P-10,4,0.5,6.99,IK-1
IN-37765,2023-01-28,P-17,3,0.4,279,IK-1
